company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
Kioxia,,"Japan, Yokkaichi",Fab 3 (at Yokkaichi Operations),,,,NAND Memory,
Kioxia,,"Japan, Yokkaichi",Fab 4 (at Yokkaichi Operations),,,2007,NAND Memory,
Kioxia,,"Japan, Ishikawa",Kaga Toshiba,,,,Power semiconductor devices,
Kioxia,,"Japan, Kyushu",Oita Operations,,,,,
Kioxia,"1.6, 1.7, 1.8 (estimates) (combined costs of installation of equipment at Phase 1 and construction of Phase 2)","Japan, Yokkaichi",Fab 6 (phase 1) (at Yokkaichi Operations),,,2018,BiCS FLASH™,
Kioxia,"1.6, 1.7, 1.8 (estimates) (combined costs of installation of equipment at Phase 1 and construction of Phase 2)","Japan, Yokkaichi",Fab 6 (phase 2) (at Yokkaichi Operations),,,Planned,BiCS FLASH™,
Kioxia,4.6,"Japan, Yokkaichi",,,,Planned,BiCS FLASH™,
Kioxia,,"Japan, Yokkaichi",Fab 2 (at Yokkaichi Operations),,,1995,Flash memory#Vertical NAND3D NAND,
Kioxia,,"Japan, Yokkaichi",New Fab 2 (at Yokkaichi Operations),,,"2016, July 15",3D NAND,
Kioxia,,"Japan, Iwate Prefecture",,,,Under Construction,3D NAND,
Western Digital,,,,,,,,
Hitachi,,"Japan, 5-2-2, Omikacho, Hitachi-shi, Ibaraki, 319-1221",Rinkai Factory,,,,MEMS Foundry,
Hitachi,,"Japan, 20 Aza Oohara, Shimo-Ota, Haramachi-ku, Minamisouma-shi, Fukushima, 975-0041",Haramachi Factory,,,,Power semiconductors,
Hitachi,,"Japan, 545, Itchohata, Chuo-shi, Yamanashi, 409-3813",Yamanashi Factory,,,,Power semiconductors,
ABB,0.140,"Switzerland, Lenzburg",Lenzburg,,"18,750 (225,000 per year)",2010 (second phase),"High power semiconductors, diodes, IGBT, BiMOS","130, 150"
ABB,,Czech Republic,,,,,,
Mitsubishi Electric,,Japan,"Power Device Works, Kunamoto Site",,,,Power semiconductors,
Mitsubishi Electric,,"Japan , Kunamoto Prefecture, Fukuoka City","Power Device Works, Fukuoka Site",,,,Power semiconductors and sensors,
Mitsubishi Electric,,"Japan , Hyogo Prefecture",High frequency optical device manufacturing plant,,,,"High frequency semiconductor devices (GaAsFET, Gallium nitrideGaN, MMIC)",
Powerchip Semiconductor,2.24,"Taiwan , Hsinchu","Memory Foundry, Fab P1","90 nanometer90, 70 nanometer70, 22 nanometer22","80,000",2002,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",300
Powerchip Semiconductor,1.86,"Taiwan , Hsinchu, Hsinchu Science Park",Fab P2,"90 nanometer90, 70 nanometer70, 22 nanometer22","80,000",2005,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",300
Powerchip Semiconductor,,"Taiwan , Hsinchu, Hsinchu Science Park",Fab P3,"90 nanometer90, 70 nanometer70, 22 nanometer22","20,000",,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",300
Renesas,,"751, Horiguchi, Hitachinaka-shi, Ibaraki, 312-8504, Japan",Naka Factory,28 nanometer28,,2009,,300
Renesas,,Japan,,"180, 90, 65",,,Foundry,300
Renesas,,"111, Nishiyokotemachi, Takasaki-shi, Gunma, 370-0021, Japan",Takasaki Factory,,,,,
Renesas,,"2-9-1, Seiran, Otsu-shi, Shiga, 520-8555, Japan",Shiga Factory,,,,,
Renesas,,"20192-3, Higashimagura Jinga, Ube-shi, Yamaguchi, 757-0298, Japan",Yamaguchi Factory,,,,,
Renesas,,"1-1-1, Yahata, Minami-ku, Kumamoto-shi, Kumamoto, 861-4195, Japan",Kawashiri Factory,,,,,
Renesas,,"8-6, Hiuchi, Saijo-shi, Ehime, 793-8501, Japan",Saijo Factory,,,,,
Renesas,,"5-20-1, Josuihon-cho, Kodaira-shi, Tokyo, 187-8588, Japan",Musashi Site,,,,,
Renesas (formerly NEC Electronics),1.2,"USA , CA, Roseville",Roseville,,,"2002, April","RAM, System on a chipSoCs, Multimedia Chips",200
Renesas-Intersil,,"USA , CA, Milpitas",1 Murphy Ranch Rd,,,,,
Integrated Device Technology,,"USA , OR, Hillsboro",,140–100,,1997,,200
NEC,,,,,,,"Static random-access memorySRAM, DRAM","100, 130, 150"
NEC,,,Japan,,,,DRAM,
Telefunken SemiconductorsTSI Semiconductors,,"USA , CA, Roseville","Roseville fab, M-Line, TD-Line, K-Line",,,"1992, 1985",,200
TDK - Micronas,,"https://www.google.com/maps/place/Hans-Bunte-Stra%C3%9Fe+19,+79108+Freiburg+im+Breisgau,+Alemania/@48.03121,7.8564613,532m/data=!3m1!1e3!4m5!3m4!1s0x47911c0b477fdfd1:0xcd7f0c169efda424!8m2!3d48.03121!4d7.85865Germany, Freiburg, 19 D-79108, Hans-Bunte-Strasse",FREIBURG,,,,,
TDK,,,Tsuruoka Higashi,,,,,125
